Protein names,Gene names,Majority protein IDs,Entry name,C: Gene ontology (biological process),C: Gene ontology (cellular component),C: Gene ontology (molecular function),C: Gene ontology (GO),Length,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS count,27.5,55,110,220,440,1100
Sll1418 protein,sll1418,P73952,P73952_SYNY3,photosynthesis [GO:0015979],extrinsic component of membrane [GO:0019898];photosystem II oxygen evolving complex [GO:0009654],calcium ion binding [GO:0005509],calcium ion binding [GO:0005509];extrinsic component of membrane [GO:0019898];photosynthesis [GO:0015979];photosystem II oxygen evolving complex [GO:0009654],188,12,12,12,79.3,20.747,0,248.86,2628100000,163,1.4635028,1.844888,1.764934,2.017286,1.549627,0.947477
Slr1512 protein,slr1512,P73953,P73953_SYNY3,,integral component of membrane [GO:0016021],,integral component of membrane [GO:0016021],374,10,10,10,23,39.647,0,323.31,758650000,77,0.120998667,0.2889021,0.634872918,0.29124462,1.477523333,0.9632644
Membrane-associated protein slr1513,slr1513,P73954,Y1513_SYNY3,,plasma membrane [GO:0005886];thylakoid membrane [GO:0042651],,plasma membrane [GO:0005886];thylakoid membrane [GO:0042651],110,8,8,8,55.5,12.007,0,92.362,2130700000,88,1.26659,1.516743,2.053594,1.849822,2.478224,2.916524
NAD kinase 2 (EC 2.7.1.23) (ATP-dependent NAD kinase 2),nadK2 sll1415,P73955,NADK2_SYNY3,NAD metabolic process [GO:0019674];NADP biosynthetic process [GO:0006741],cytoplasm [GO:0005737],ATP binding [GO:0005524];NAD+ kinase activity [GO:0003951],ATP binding [GO:0005524];cytoplasm [GO:0005737];NAD metabolic process [GO:0019674];NAD+ kinase activity [GO:0003951];NADP biosynthetic process [GO:0006741],307,2,2,2,7.8,33.775,0.0036307,1.8839,282910000,5,0.15665186,0.21492686,0.17827978,0.1941804,0.10116456,0.07892086
Protein Thf1,thf1 sll1414,P73956,THF1_SYNY3,photosystem II assembly [GO:0010207],plasma membrane-derived thylakoid photosystem II [GO:0030096],,photosystem II assembly [GO:0010207];plasma membrane-derived thylakoid photosystem II [GO:0030096],240,10,10,10,38.3,27.074,0,84.395,3726000000,126,4.312706,4.331176,4.709652,4.723682,4.6332,4.238352
Slr1515 protein,slr1515,P73958,P73958_SYNY3,,integral component of membrane [GO:0016021],,integral component of membrane [GO:0016021],474,2,2,2,6.3,52.241,0,7.4733,212150000,6,0.10338008,0.0934667,0.09163116,0.09913535,0.0971535,0.1163691
3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH),leuB slr1517,P73960,LEU3_SYNY3,leucine biosynthetic process [GO:0009098],cytosol [GO:0005829],3-isopropylmalate dehydrogenase activity [GO:0003862];magnesium ion binding [GO:0000287];NAD binding [GO:0051287],3-isopropylmalate dehydrogenase activity [GO:0003862];cytosol [GO:0005829];leucine biosynthetic process [GO:0009098];magnesium ion binding [GO:0000287];NAD binding [GO:0051287],362,18,18,18,55.5,38.667,0,323.31,5427300000,258,1.881386,1.997344,2.23008,1.92919,2.340932,2.527752
Ssr2554 protein,ssr2554,P73961,P73961_SYNY3,,,,,88,3,3,3,55.7,10.364,0,16.878,662130000,64,1.0825466,0.8449274,0.9161682,0.8756906,1.1024086,1.0385222
HglK,hglK,P73963,P73963_SYNY3,,,,,245,3,3,3,19.2,26.541,0,33.446,354960000,28,0.6161414,0.6181736,0.4256906,0.5096478,0.5775788,0.534135
GTPase HflX (GTP-binding protein HflX),hflX,P73965,P73965_SYNY3,,cytoplasm [GO:0005737],GTP binding [GO:0005525];GTPase activity [GO:0003924];ribosome binding [GO:0043022],cytoplasm [GO:0005737];GTP binding [GO:0005525];GTPase activity [GO:0003924];ribosome binding [GO:0043022],534,5,5,5,20.4,58.539,0,24.153,123190000,41,0.03309566,0.03361136,0.03420096,0.03536326,0.0405187,0.02890352
Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase),pepA lap sll2001,P73971,AMPA_SYNY3,,cytoplasm [GO:0005737],aminopeptidase activity [GO:0004177];manganese ion binding [GO:0030145];metalloexopeptidase activity [GO:0008235],aminopeptidase activity [GO:0004177];cytoplasm [GO:0005737];manganese ion binding [GO:0030145];metalloexopeptidase activity [GO:0008235],492,19,19,19,39,52.165,0,323.31,8807500000,425,3.836946,3.609418,3.587482,3.954874,3.489186,2.989244
Slr2122 protein,slr2122,P73989,P73989_SYNY3,,,,,225,4,4,4,32.4,25.816,0,47.431,527860000,63,0.435401,0.5107112,0.5472646,0.4557162,0.5670348,0.5946282
D-isomer specific 2-hydroxyacid dehydrogenase family,slr2123,P73990,P73990_SYNY3,,cytosol [GO:0005829],glyoxylate reductase (NADP) activity [GO:0030267];hydroxypyruvate reductase activity [GO:0016618];NAD binding [GO:0051287],cytosol [GO:0005829];glyoxylate reductase (NADP) activity [GO:0030267];hydroxypyruvate reductase activity [GO:0016618];NAD binding [GO:0051287],318,4,4,4,15.7,34.328,0,82.106,778250000,114,0.7932852,0.6937164,0.5635286,0.6773044,0.6058338,0.5775192
Short-chain alcohol dehydrogenase family,slr2124,P73991,P73991_SYNY3,,,oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],249,2,2,2,8.8,26.493,0,3.9717,296710000,3,0.4727534,0.403868,0.3351298,0.3531978,0.3504702,0.3251408
Slr2125 protein,slr2125,P73992,P73992_SYNY3,,,,,264,4,4,4,18.9,30.44,0,13.383,132040000,27,0.079393725,0.077983325,0.06613788,0.07828325,0.05945078,0.05247832
3-dehydroquinate synthase (DHQS) (EC 4.2.3.4),aroB slr2130,P73997,AROB_SYNY3,aromatic amino acid family biosynthetic process [GO:0009073];chorismate biosynthetic process [GO:0009423],cytoplasm [GO:0005737],3-dehydroquinate synthase activity [GO:0003856];metal ion binding [GO:0046872];nucleotide binding [GO:0000166],3-dehydroquinate synthase activity [GO:0003856];aromatic amino acid family biosynthetic process [GO:0009073];chorismate biosynthetic process [GO:0009423];cytoplasm [GO:0005737];metal ion binding [GO:0046872];nucleotide binding [GO:0000166],361,10,10,10,46.5,38.854,0,209.02,1776900000,178,0.8761806,0.8071738,0.7806596,0.909725,0.8670264,0.885686
Cation or drug efflux system protein,slr2131,P73998,P73998_SYNY3,drug transmembrane transport [GO:0006855],integral component of membrane [GO:0016021],efflux transmembrane transporter activity [GO:0015562],drug transmembrane transport [GO:0006855];efflux transmembrane transporter activity [GO:0015562];integral component of membrane [GO:0016021],1061,8,8,8,11.5,114.93,0,99.692,623780000,57,0.16623738,0.0750273,0.07780682,0.08588532,0.15284306,0.21529634
Sll1241 protein,sll1241,P73999,P73999_SYNY3,,,,,252,3,3,3,16.3,29.409,0,22.098,109450000,12,0.039318728,0.04509765,0.061171175,0.0537392,0.041146375,0.06375885
Sll1239 protein,sll1239,P74001,P74001_SYNY3,,,,,178,4,4,4,28.7,20.608,0,9.0925,195710000,14,0.18661128,0.19048538,0.080936825,0.143425733,0.16486925,0.15499385
Metalloprotease slr1322 (EC 3.4.-.-),slr1322,P74002,Y1322_SYNY3,,cytosol [GO:0005829],metallopeptidase activity [GO:0008237],cytosol [GO:0005829];metallopeptidase activity [GO:0008237],489,25,25,25,50.1,53.129,0,323.31,5762500000,524,2.14691,2.238202,2.058472,2.091952,2.00881,2.050968
"Probable guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) (Penta-phosphate guanosine-3'-pyrophosphohydrolase) ((ppGpp)ase)",spoT slr1325,P74007,SPOT_SYNY3,guanosine tetraphosphate biosynthetic process [GO:0015970];guanosine tetraphosphate metabolic process [GO:0015969];response to starvation [GO:0042594],cell wall [GO:0005618];plasma membrane [GO:0005886],"GTP diphosphokinase activity [GO:0008728];guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity [GO:0008893]","cell wall [GO:0005618];GTP diphosphokinase activity [GO:0008728];guanosine tetraphosphate biosynthetic process [GO:0015970];guanosine tetraphosphate metabolic process [GO:0015969];guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity [GO:0008893];plasma membrane [GO:0005886];response to starvation [GO:0042594]",760,8,8,8,13.3,86.567,0,33.923,336330000,77,0.0287095,0.04362342,0.08417106,0.06905614,0.05645288,0.07922294
Adenosylhomocysteinase (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase) (AdoHcyase),ahcY sll1234,P74008,SAHH_SYNY3,one-carbon metabolic process [GO:0006730];S-adenosylhomocysteine catabolic process [GO:0019510];S-adenosylmethionine cycle [GO:0033353],cytosol [GO:0005829],adenosylhomocysteinase activity [GO:0004013];NAD binding [GO:0051287],adenosylhomocysteinase activity [GO:0004013];cytosol [GO:0005829];NAD binding [GO:0051287];one-carbon metabolic process [GO:0006730];S-adenosylhomocysteine catabolic process [GO:0019510];S-adenosylmethionine cycle [GO:0033353],425,25,25,25,75.1,46.213,0,323.31,62379000000,560,19.40884,20.73522,23.99874,22.99082,26.73012,30.99114
Processing protease,ymxG,P74016,P74016_SYNY3,,outer membrane-bounded periplasmic space [GO:0030288],metal ion binding [GO:0046872];peptidase activity [GO:0008233],metal ion binding [GO:0046872];outer membrane-bounded periplasmic space [GO:0030288];peptidase activity [GO:0008233],513,12,12,12,36.1,56.893,0,171.27,952410000,135,0.4262914,0.358864,0.3012994,0.3235196,0.3259916,0.1923134
Hydrogenase large subunit,hoxH,P74018,P74018_SYNY3,,,ferredoxin hydrogenase activity [GO:0008901];nickel cation binding [GO:0016151],ferredoxin hydrogenase activity [GO:0008901];nickel cation binding [GO:0016151],474,10,10,10,25.7,52.917,0,97.333,1455800000,188,0.4708452,0.466645,0.4482418,0.4526478,0.3924508,0.383276
Hydrogenase subunit,hoxU,P74022,P74022_SYNY3,,,electron transfer activity [GO:0009055];iron-sulfur cluster binding [GO:0051536];NADH dehydrogenase activity [GO:0003954],electron transfer activity [GO:0009055];iron-sulfur cluster binding [GO:0051536];NADH dehydrogenase activity [GO:0003954],238,3,3,3,18.1,26.196,0,4.2665,176430000,8,0.19751438,0.204976,0.13242315,0.17179752,0.12411612,0.0610843
Hydrogenase subunit,hoxF,P74024,P74024_SYNY3,,,"4 iron, 4 sulfur cluster binding [GO:0051539];FMN binding [GO:0010181];metal ion binding [GO:0046872];NADH dehydrogenase (ubiquinone) activity [GO:0008137]","4 iron, 4 sulfur cluster binding [GO:0051539];FMN binding [GO:0010181];metal ion binding [GO:0046872];NADH dehydrogenase (ubiquinone) activity [GO:0008137]",533,8,8,8,23.6,57.774,0,65.055,491470000,116,0.1687821,0.1426374,0.13745106,0.13633444,0.102095,0.11694212
Potential NAD-reducing hydrogenase subunit,sll1220,P74025,P74025_SYNY3,,,"2 iron, 2 sulfur cluster binding [GO:0051537];metal ion binding [GO:0046872];oxidoreductase activity [GO:0016491]","2 iron, 2 sulfur cluster binding [GO:0051537];metal ion binding [GO:0046872];oxidoreductase activity [GO:0016491]",173,2,2,2,13.9,18.759,0,4.4322,48126000,21,0.070641925,0.0394071,0.035313067,0.026034267,0.02413985,0.043333725
Slr1334 protein,slr1334,P74027,P74027_SYNY3,carbohydrate metabolic process [GO:0005975],cytosol [GO:0005829],"intramolecular transferase activity, phosphotransferases [GO:0016868];magnesium ion binding [GO:0000287]","carbohydrate metabolic process [GO:0005975];cytosol [GO:0005829];intramolecular transferase activity, phosphotransferases [GO:0016868];magnesium ion binding [GO:0000287]",490,14,14,14,40.6,52.678,0,305.7,2954500000,268,0.836167,0.7572374,0.7355572,0.8042696,0.8503204,0.6962024
Ycf39 protein,ycf39,P74029,P74029_SYNY3,,,,,219,11,11,11,62.6,23.534,0,151.03,1788100000,91,1.2508012,1.2243652,1.0079418,1.1105774,0.9361208,0.7469654
Sll1217 protein,sll1217,P74030,P74030_SYNY3,,,,,225,7,7,7,37.3,25.604,0,36.323,776450000,50,0.5000552,0.441831,0.386276,0.3373432,0.368538,0.3761822
D-alanyl-D-alanine carboxypeptidase,dacB,P74032,P74032_SYNY3,,,serine-type carboxypeptidase activity [GO:0004185],serine-type carboxypeptidase activity [GO:0004185],314,3,3,3,15.9,33.623,0,4.0502,86825000,3,0.04171245,0.04646105,0.04124992,0.0322578,0.04214025,0.0547517
Slr0806 protein,slr0806,P74033,P74033_SYNY3,,,"flavin adenine dinucleotide binding [GO:0050660];oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]","flavin adenine dinucleotide binding [GO:0050660];oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]",439,10,10,10,31.4,47.989,0,29.985,504510000,80,0.2874062,0.15831524,0.1507406,0.14002496,0.1563238,0.184004
tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD),tsaD gcp slr0807,P74034,TSAD_SYNY3,tRNA threonylcarbamoyladenosine modification [GO:0002949],cytoplasm [GO:0005737];EKC/KEOPS complex [GO:0000408],metal ion binding [GO:0046872];metalloendopeptidase activity [GO:0004222];N(6)-L-threonylcarbamoyladenine synthase [GO:0061711],cytoplasm [GO:0005737];EKC/KEOPS complex [GO:0000408];metal ion binding [GO:0046872];metalloendopeptidase activity [GO:0004222];N(6)-L-threonylcarbamoyladenine synthase [GO:0061711];tRNA threonylcarbamoyladenosine modification [GO:0002949],348,3,3,3,10.6,37.099,0,5.819,240820000,39,0.148197,0.1371158,0.1383362,0.13118078,0.14099,0.1249396
dTDP-glucose 4-6-dehydratase,rfbB,P74036,P74036_SYNY3,,,,,328,14,14,14,57.9,36.942,0,323.31,3349800000,202,1.0275078,1.233632,1.200216,1.148124,1.184298,1.1154024
Ribosomal RNA small subunit methyltransferase I (EC 2.1.1.198) (16S rRNA 2'-O-ribose C1402 methyltransferase) (rRNA (cytidine-2'-O-)-methyltransferase RsmI),rsmI sll0818,P74038,RSMI_SYNY3,enzyme-directed rRNA 2'-O-methylation [GO:0000453],cytoplasm [GO:0005737],methyltransferase activity [GO:0008168],cytoplasm [GO:0005737];enzyme-directed rRNA 2'-O-methylation [GO:0000453];methyltransferase activity [GO:0008168],279,2,2,2,9,30.83,0.0046225,1.7559,54911000,7,0.026367416,0.036550125,0.035848038,0.04190994,0.022348775,0.038037675
Uncharacterized oxidoreductase sll0816 (EC 1.-.-.-),sll0816,P74041,Y816_SYNY3,,,oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],371,4,4,4,11.6,41.489,0,16.937,236110000,12,0.16388814,0.13113972,0.10148492,0.13181144,0.13567368,0.08782586
Sll0815 protein,sll0815,P74042,P74042_SYNY3,,,,,264,6,6,6,27.3,30.368,0,28.307,381810000,66,0.1784602,0.1983892,0.2370036,0.21364624,0.2450258,0.1866915
Sll0814 protein,sll0814,P74043,P74043_SYNY3,,integral component of membrane [GO:0016021],,integral component of membrane [GO:0016021],303,3,3,3,7.9,33.119,0,10.015,407470000,36,0.4357564,0.6196038,0.6767138,0.7964368,0.6936254,0.8509356
Cytochrome c oxidase subunit 2 (EC 1.9.3.1),ctaC,P74044,P74044_SYNY3,,integral component of membrane [GO:0016021];plasma membrane [GO:0005886];respiratory chain [GO:0070469],copper ion binding [GO:0005507];cytochrome-c oxidase activity [GO:0004129],copper ion binding [GO:0005507];cytochrome-c oxidase activity [GO:0004129];integral component of membrane [GO:0016021];plasma membrane [GO:0005886];respiratory chain [GO:0070469],300,3,3,3,12,33.47,0,9.3654,178690000,30,0.1439926,0.1554489,0.08741666,0.147187,0.093883,0.09031925
Slr0818 protein,slr0818,P74054,P74054_SYNY3,,integral component of membrane [GO:0016021],,integral component of membrane [GO:0016021],451,7,7,7,30.4,50.417,0,59.318,433210000,58,0.2412212,0.2131756,0.1892172,0.170051,0.1873862,0.2130496
Putative sulfur carrier protein slr0821,slr0821,P74060,Y821_SYNY3,,,,,109,7,7,7,84.4,11.694,0,86.291,5736000000,159,5.939474,6.09258,6.083698,6.376718,5.93577,5.560088
Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (R5P3E),rpe sll0807,P74061,RPE_SYNY3,"cellular carbohydrate metabolic process [GO:0044262];pentose catabolic process [GO:0019323];pentose-phosphate shunt, non-oxidative branch [GO:0009052]",cytosol [GO:0005829],metal ion binding [GO:0046872];ribulose-phosphate 3-epimerase activity [GO:0004750],"cellular carbohydrate metabolic process [GO:0044262];cytosol [GO:0005829];metal ion binding [GO:0046872];pentose catabolic process [GO:0019323];pentose-phosphate shunt, non-oxidative branch [GO:0009052];ribulose-phosphate 3-epimerase activity [GO:0004750]",230,7,7,7,29.1,24.971,0,295.82,9434100000,221,7.131134,7.504104,8.321232,8.219654,9.791534,9.64762
Photosystem I assembly protein Ycf3,ycf3 slr0823,P74063,YCF3_SYNY3,photosynthesis [GO:0015979],thylakoid membrane [GO:0042651],,photosynthesis [GO:0015979];thylakoid membrane [GO:0042651],173,8,8,8,71.1,19.878,0,164.3,1088200000,143,0.6442828,0.6534672,0.6809146,0.6833462,0.6676114,0.6016098
Ssl1498 protein,ssl1498,P74067,P74067_SYNY3,,integral component of membrane [GO:0016021],,integral component of membrane [GO:0016021],61,2,2,2,29.5,6.3993,0,3.6916,328190000,5,1.0179316,0.9378586,0.7648604,1.0020512,0.802018,0.5683858
NAD(P)H-quinone oxidoreductase subunit N (EC 1.6.5.-) (NAD(P)H dehydrogenase I subunit N) (NDH-1 subunit N) (NDH-N),ndhN sll1262,P74069,NDHN_SYNY3,,thylakoid membrane [GO:0042651],"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655];quinone binding [GO:0048038]","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655];quinone binding [GO:0048038];thylakoid membrane [GO:0042651]",161,7,7,7,54,17.629,0,241.59,2755300000,159,2.252306,2.519204,2.196076,2.613014,2.572412,2.637982
Elongation factor Ts (EF-Ts),tsf sll1261,P74070,EFTS_SYNY3,,cytoplasm [GO:0005737],translation elongation factor activity [GO:0003746],cytoplasm [GO:0005737];translation elongation factor activity [GO:0003746],218,25,25,25,79.8,24.231,0,323.31,28309000000,699,14.62278,17.065,19.99558,18.24638,19.04446,19.24574
30S ribosomal protein S2,rpsB rps2 sll1260,P74071,RS2_SYNY3,translation [GO:0006412],cytosolic small ribosomal subunit [GO:0022627],structural constituent of ribosome [GO:0003735],cytosolic small ribosomal subunit [GO:0022627];structural constituent of ribosome [GO:0003735];translation [GO:0006412],269,22,22,22,68,30.15,0,323.31,65409000000,599,28.44066,33.60828,37.82928,37.2146,38.05164,38.56516
Sll1258 protein,sll1258,P74073,P74073_SYNY3,dUTP biosynthetic process [GO:0006229],,dCTP deaminase activity [GO:0008829],dCTP deaminase activity [GO:0008829];dUTP biosynthetic process [GO:0006229],193,7,7,7,52.8,21.378,0,125.63,1516800000,112,0.9600046,0.9307184,1.112321,1.1493082,1.3037518,1.484536
Slr1338 protein,slr1338,P74074,P74074_SYNY3,,,,,200,10,10,10,65,22.438,0,68.15,1674800000,133,1.73074,1.3977186,1.0682378,1.2053368,1.0563698,0.6938794
Slr1340 protein,slr1340,P74076,P74076_SYNY3,,,N-acetyltransferase activity [GO:0008080],N-acetyltransferase activity [GO:0008080],178,2,2,2,11.8,19.392,0,3.8922,196990000,29,0.25290915,0.19574516,0.1881182,0.1918276,0.1843824,0.1519912
UPF0053 protein sll1254,sll1254,P74078,Y1254_SYNY3,,integral component of membrane [GO:0016021];plasma membrane [GO:0005886],,integral component of membrane [GO:0016021];plasma membrane [GO:0005886],346,3,3,3,11,38.343,0,5.8834,317530000,18,0.17598572,0.1901398,0.158241,0.1561934,0.13904864,0.140124
Slr1342 protein,slr1342,P74079,P74079_SYNY3,,,,,445,23,23,23,63.1,48.519,0,289.91,4509100000,364,1.30181,1.404998,1.43371,1.513676,1.3895822,1.1740278
Slr1343 protein,slr1343,P74080,P74080_SYNY3,,,,,504,2,2,2,3.4,58.141,0.0016009,2.2613,105580000,29,0.08555114,0.07692166,0.013675116,0.01712136,0.0169989,0.01510538
PolyA polymerase,pcnB,P74081,P74081_SYNY3,RNA processing [GO:0006396],,nucleotidyltransferase activity [GO:0016779];RNA binding [GO:0003723],nucleotidyltransferase activity [GO:0016779];RNA binding [GO:0003723];RNA processing [GO:0006396],942,6,6,6,7.9,105.91,0.0026357,2.0883,948760000,40,0.13181984,0.11971552,0.12917148,0.11327636,0.1569634,0.155054
Sll1252 protein,sll1252,P74082,P74082_SYNY3,,plasma membrane-derived thylakoid photosystem II [GO:0030096],RNA binding [GO:0003723],plasma membrane-derived thylakoid photosystem II [GO:0030096];RNA binding [GO:0003723],259,5,5,5,23.9,28.591,0,42.289,491710000,82,0.2788088,0.2501512,0.2612166,0.2272031,0.2579158,0.251978
Sll1251 protein,sll1251,P74084,P74084_SYNY3,,,,,296,2,2,2,7.8,35.327,0,21.52,160350000,11,0.0475708,0.0634292,0.06393046,0.06952752,0.06949564,0.08455034
Serine acetyltransferase (SAT) (EC 2.3.1.30),cysE slr1348,P74089,CYSE_SYNY3,cysteine biosynthetic process [GO:0019344];cysteine biosynthetic process from serine [GO:0006535],cytosol [GO:0005829],serine O-acetyltransferase activity [GO:0009001],cysteine biosynthetic process [GO:0019344];cysteine biosynthetic process from serine [GO:0006535];cytosol [GO:0005829];serine O-acetyltransferase activity [GO:0009001],249,6,6,6,27.3,27.336,0,72.642,455460000,75,0.254501,0.2163894,0.248692,0.260384,0.2372034,0.2125924
Slr1958 protein,slr1958,P74094,P74094_SYNY3,,,,,200,8,8,8,40,23.031,0,78.108,1940800000,130,1.701343,1.519082,1.2487906,1.2646328,1.291962,1.0993772
Slr1959 protein,slr1959,P74097,P74097_SYNY3,,,nucleic acid binding [GO:0003676],nucleic acid binding [GO:0003676],827,3,3,3,5.2,95.535,0,4.0292,50995000,3,0.01016846,0.008803828,0.012745353,0.011128278,0.009776805,0.014663
Slr1962 protein,slr1962,P74100,P74100_SYNY3,transmembrane transport [GO:0055085],outer membrane-bounded periplasmic space [GO:0030288],metal ion binding [GO:0046872],metal ion binding [GO:0046872];outer membrane-bounded periplasmic space [GO:0030288];transmembrane transport [GO:0055085],370,11,11,11,36.5,40.342,0,184.57,2768100000,262,1.297339,1.2337154,1.1615874,1.1314266,1.220462,0.93488
Uncharacterized protein sll1895,sll1895,P74101,Y1895_SYNY3,,,,,696,6,6,6,9.9,79.67,0,10.272,367810000,41,0.09881412,0.1025154,0.07085716,0.08415724,0.07382328,0.08552658
Orange carotenoid-binding protein (OCP) [Cleaved into: Red carotenoid-binding protein (RCP)],slr1963,P74102,OCP_SYNY3,light absorption [GO:0016037];protein-chromophore linkage [GO:0018298],phycobilisome [GO:0030089],chloride ion binding [GO:0031404];photoreceptor activity [GO:0009881],chloride ion binding [GO:0031404];light absorption [GO:0016037];photoreceptor activity [GO:0009881];phycobilisome [GO:0030089];protein-chromophore linkage [GO:0018298],317,23,23,23,80.8,34.658,0,323.31,54184000000,685,24.80282,23.31748,24.21026,22.30718,25.2309,34.37218
"Riboflavin biosynthesis protein RibBA [Includes: 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12);GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)]",ribBA ribA sll1894,P74104,RIBBA_SYNY3,riboflavin biosynthetic process [GO:0009231],,"3,4-dihydroxy-2-butanone-4-phosphate synthase activity [GO:0008686];GTP binding [GO:0005525];GTP cyclohydrolase II activity [GO:0003935];metal ion binding [GO:0046872]","3,4-dihydroxy-2-butanone-4-phosphate synthase activity [GO:0008686];GTP binding [GO:0005525];GTP cyclohydrolase II activity [GO:0003935];metal ion binding [GO:0046872];riboflavin biosynthetic process [GO:0009231]",556,11,11,11,22.3,61.681,0,114.2,1001400000,128,0.16632566,0.194769,0.2102218,0.2109554,0.1942972,0.164126
Imidazole glycerol phosphate synthase subunit HisF (EC 4.1.3.-) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF),hisF sll1893,P74106,HIS6_SYNY3,histidine biosynthetic process [GO:0000105],cytoplasm [GO:0005737],imidazoleglycerol-phosphate synthase activity [GO:0000107];lyase activity [GO:0016829],cytoplasm [GO:0005737];histidine biosynthetic process [GO:0000105];imidazoleglycerol-phosphate synthase activity [GO:0000107];lyase activity [GO:0016829],261,6,6,6,34.9,27.973,0,99.911,391170000,104,0.3104834,0.2257034,0.2029896,0.19971,0.1831344,0.2246232
Sll1892 protein,sll1892,P74107,P74107_SYNY3,,,,,248,4,4,4,21.4,25.668,0,12.47,190530000,58,0.31545986,0.519588,0.22672306,0.14720388,0.1864045,0.1375997
Slr1968 protein,slr1968,P74108,P74108_SYNY3,,,,,934,5,5,5,7.3,104.31,0,15.62,149820000,31,0.02451324,0.023719614,0.01948267,0.01891882,0.021833866,0.0198647
Sll1891 protein,sll1891,P74109,P74109_SYNY3,,,,,252,3,3,3,23,26.435,0,144.93,1005300000,58,1.2463232,1.2442102,1.0804678,1.1028924,1.038229,0.8898964
Hybrid sensory kinase,slr1969,P74111,P74111_SYNY3,protein-chromophore linkage [GO:0018298],intracellular [GO:0005622],phosphorelay sensor kinase activity [GO:0000155],intracellular [GO:0005622];phosphorelay sensor kinase activity [GO:0000155];protein-chromophore linkage [GO:0018298],750,3,3,3,4.9,83.989,0,4.7028,1240000000,54,0.4229312,0.3283736,0.2961584,0.3534062,0.3481912,0.2892816
Ssr3341 protein,ssr3341,P74112,P74112_SYNY3,,,,,70,3,3,3,52.9,7.8309,0,5.9134,249540000,27,0.4314722,0.3563536,0.2670312,0.3532408,0.28642236,0.22353122
Slr1970 protein,slr1970,P74113,P74113_SYNY3,,,,,173,3,3,3,24.9,19.451,0,36.746,313560000,55,0.2357006,0.276563,0.2627782,0.254472,0.1696264,0.19826664
Sensory transduction histidine kinase,sll1888,P74115,P74115_SYNY3,,intracellular [GO:0005622],phosphorelay sensor kinase activity [GO:0000155],intracellular [GO:0005622];phosphorelay sensor kinase activity [GO:0000155],432,5,5,5,15.7,47.413,0,42,262760000,97,0.13289586,0.12202162,0.0955292,0.1018163,0.0972517,0.07437362
Uncharacterized PIN and TRAM-domain containing protein slr1972 (Putative RNase slr1972) (EC 3.1.-.-),slr1972,P74117,Y1972_SYNY3,,cell wall [GO:0005618],metal ion binding [GO:0046872];nuclease activity [GO:0004518],cell wall [GO:0005618];metal ion binding [GO:0046872];nuclease activity [GO:0004518],359,3,3,3,16.4,38.815,0,52.478,290760000,47,0.1888064,0.1783506,0.1897424,0.2044762,0.2047842,0.1709974
Sll1885 protein,sll1885,P74119,P74119_SYNY3,,integral component of membrane [GO:0016021],,integral component of membrane [GO:0016021],845,3,3,3,6.2,91.834,0,7.7129,74491000,9,0.03003016,0.02851332,0.03290718,0.04030846,0.03809062,0.02210316
GTPase Der (GTP-binding protein EngA),der engA slr1974,P74120,DER_SYNY3,ribosome biogenesis [GO:0042254],,GTP binding [GO:0005525],GTP binding [GO:0005525];ribosome biogenesis [GO:0042254],452,12,12,12,40.9,50.825,0,131.46,1376400000,148,0.5660542,0.4694992,0.4699724,0.4913394,0.5275896,0.554063
Sll1884 protein,sll1884,P74121,P74121_SYNY3,,,,,374,3,3,3,8.8,42.864,0,11.466,346060000,13,0.1626938,0.1597468,0.1637908,0.1489096,0.174647,0.1846938
